level=INFO ts=2019-10-19T04:10:17.008385Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=49d876c6-4629-4e1a-a209-ece676675d3e msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:10:17.015176Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=a4bf0c02-3b9a-4987-acc9-f1a9a9244deb msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:10:25.006564Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=5563ccda-0017-4413-b834-c42c8b60bb7a msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:10:25.010936Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=048617e5-f86c-4fe6-9d4c-a7fa4a8d0af6 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:10:32.997007Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=827d53ab-46a2-44b6-82c6-129f5fc8aaad msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:10:33.017581Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=7c1d543d-8b0c-49c7-b687-86a1bb333631 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:10:41.019747Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=de6e5e38-1a67-43a6-ba8b-e56be439caf4 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:10:41.027803Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=23c67206-9ca0-4180-b0ec-a1b8ac1fd945 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:10:48.995727Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=a556964f-bc0a-43ad-a9f9-55d1f44925bf msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:10:49.003483Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=04be80ec-c2cf-4b4e-8f87-103244b6a25c msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:10:57.010153Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=9926f55e-b2b6-4f88-9cbb-cc944b633cd2 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:10:57.011839Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=bb3c34b2-803d-4964-b063-747c02352869 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:05.01388Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=992faf22-4948-4105-a657-307c4199013f msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:05.023697Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=110ec52d-35bb-4ae7-9532-2308ed583807 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:13.024638Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=57f6e93e-6dd5-4e93-871d-32c041b9efe2 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:13.027587Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=83395afb-a783-4315-ae4e-480ea8358d71 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:21.031505Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=b23e2234-3e53-4f1c-9af5-9eb65ab6d8ef msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:21.035933Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=a3df6355-d367-446b-9ab8-f7b4180122db msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:29.017081Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=269d9d37-82ef-4707-a3e5-1f25885a6447 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:29.018216Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=baa86290-5802-4902-a8af-22d212be1443 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:37.022236Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=89226205-aab4-4dc8-921d-970b59aa1012 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:37.035565Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=b169c850-333c-4ae1-b4be-3296c582ba59 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:45.02778Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=bcb4b09a-2856-46b7-8913-51f6666c671c msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:45.041666Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=47a968ec-208a-4377-9ab4-df55c7159109 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:53.032508Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=0d13e6fd-c9ea-41ab-8733-d5118dafad13 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:11:53.03271Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=7033525c-e089-4ac0-864f-095ab6f43f96 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:01.048094Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=36cc97cf-48dc-49ef-98de-48bb52aed9ba msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:01.050148Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=2da26737-8f12-4812-81f0-13f4892499f4 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:09.051948Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=a91adc3b-199d-4ca9-a9e7-09d171476f34 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:09.06567Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=ee77c762-18fe-439e-bbf8-e73e0154dc5e msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:17.042182Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=6e259fc8-ef0e-44b3-893d-f19b79d919c8 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:17.055634Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=4c148294-11d3-438e-bb53-a2dd1bd13a15 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:25.04395Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=8ccfcda4-3c13-4a31-841f-04ec4a931756 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:25.047064Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=5a91fe35-6793-43a5-a3d8-ceff57ff9983 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:33.052146Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=47dd3689-4e9e-48b7-be66-05cc2aa912bb msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:33.061336Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=4cfa7f99-69f5-48f2-9060-9a8628fcaa9f msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:41.059761Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=543e53fd-65fc-46dd-9dee-805df9d981ef msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:41.066519Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=0a404b0b-72a2-4645-a108-3e8324a41052 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:49.079786Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=9ab44450-f4c7-4dcd-a296-cebdb6bda79e msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:49.086467Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=e847c005-3e5d-4c11-ae37-a9331ffe29e0 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:57.066938Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=934cccea-22b8-49c9-98c5-173355527d0d msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:12:57.077466Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=9cfbffca-68c9-421c-8f37-1047757f3beb msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:05.064599Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=93612911-7e4a-4fa8-8327-57f405cb3750 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:05.065327Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=feb8b8e0-2502-49e1-84cb-99801edc2a4f msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:13.074014Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=a5fb9983-806e-4b73-9f9a-db20c0ebc0b7 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:13.077869Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=d037aa50-2409-4a83-bc2b-c54d9597844a msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:21.070553Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=4c10c53e-e685-4557-8720-cce10dcb349b msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:21.08492Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=e362bad2-bb9c-4b3b-88db-0c071dce1f03 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:29.073171Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=9e61255e-e197-4551-9a06-e21ec3de83bf msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:29.073376Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=6b89fe75-ca5e-4fdf-ba68-55d3174eba4a msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:37.081617Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=3cc2f55c-6ae1-4c60-8c50-e64ef893e093 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:37.090994Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=06af0fa9-c196-4e7c-8a65-9de810ffe5be msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:45.087218Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=5234d026-3024-4bd1-a17a-ef93cacbd5c1 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:45.10194Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=f4089d7c-2ad0-44fd-a1d2-97c2b7b89c71 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:53.09938Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=e4b77956-7ea4-4674-b286-ee7b6d1a16d3 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:13:53.103679Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=49005740-0637-40a0-b2b5-70fc5af1d4c2 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:01.090828Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=8e666d01-822b-415d-a272-715260ba9dd4 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:01.095161Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=6860b2cd-9796-4692-9953-ad87a68c792a msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:09.102114Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=5e6d819f-7c02-4dc9-b8c1-a4666b17405b msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:09.11808Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=3e98ab1b-b464-4bb5-890b-f9a06d2f7a4b msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:17.09792Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=3aa2b5ab-5924-44d3-b6c3-510ae85dcc57 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:17.110742Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=e2a75e63-8a92-4442-9e84-8ef23c342059 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:25.118573Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=85ffba24-1d45-42b4-9a04-a27fd7a2deee msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:25.120378Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=9d51029c-1499-47c8-93fa-76dff346e8d0 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:33.105467Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=0dae33b8-00c2-49ad-ab6d-4cc5f0ec0d80 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:33.108247Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=73cef839-536f-417b-8abf-d7e89464433d msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:41.141599Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=b01e6788-d245-44c9-94d9-e184e9d4ca17 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:41.163049Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=18d6f3b2-ab04-4374-a5ee-38c688c5c5b4 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:49.120434Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=45d9e11f-5cba-48fd-b748-c22f037b63f3 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:49.136604Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=da2170a3-361a-4d7e-9ce8-57256cbf04a0 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:57.125338Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=2f21789d-8667-4ba5-b696-eff6929e15be msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:14:57.136483Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=97e6c413-ad1b-4f62-ba02-ec374bf76f1b msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:05.117638Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=8b109656-c334-4ce9-be66-8e6eac3970a2 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:05.125914Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=86f141fe-68de-461f-b523-33e1139ddb41 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:13.117096Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=6e0265e6-d9e6-420f-b996-f57023a60bb9 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:13.118417Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=ca3529ce-afd5-4bbb-b0f1-2b3b057c92d8 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:21.154962Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=39ead792-7bdc-48b8-8936-ef5845a3e538 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:21.195077Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=19593661-5f95-40fa-9ea2-634866db67af msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:29.135486Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=fc3cda21-5c2b-4fdc-b211-a8546be44a50 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:29.136311Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=d586408d-49a7-42bc-b241-2eb3826689b4 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:37.135093Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=5f640143-c902-49c0-b600-7b055bfe988a msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:37.154557Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=e22aa619-a75e-46a0-b553-0b10c914337a msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:45.148566Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=0487ab73-7c8d-4269-b82a-56ad39f737f0 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:45.148595Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=52d2ffa1-5151-489e-91db-4c02a8600fff msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:53.129436Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=151987c4-6f21-410a-bd4d-a35a3779ddba msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:15:53.129869Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=8e51bd40-5d05-444f-880a-82ae0872fb7a msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:01.164509Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=28c78923-9aaa-4734-b664-7d001df40fa7 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:01.169061Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=05ad2d08-0e48-4ef7-a08a-56ae1f62fce2 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:09.155423Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=1e6a98c0-463e-4103-b033-c21fd6571b20 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:09.162106Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=d044cccc-0780-4e2c-a736-d5f58bfd4956 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:17.155227Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=f1cca6e9-dc2d-43c5-adde-281865513085 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:17.160444Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=e523eab4-8aba-4912-9659-8c75e364f551 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:25.164243Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=d80bc08b-4ef0-45cf-ba9e-76a7d1aa8213 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:25.164242Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=eaae15de-df58-4fb7-9a39-4c2b8d0d718a msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:33.16373Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=1b333951-b32c-4043-a0d6-3a6897b98d21 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:33.163796Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=4c7ebf43-41f4-4edf-8d15-15824d60ae27 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:41.288961Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=3d44fc8e-95db-428b-bf14-c84d06acc86e msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:41.375893Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=9f22131b-3455-4134-8eee-e39016bd4b80 msg="SendEvent: Pushed event to core data"
level=INFO ts=2019-10-19T04:16:49.162423Z app=device-simple source=utils.go:77 Content-Type=application/json correlation-id=037cffd7-cba0-49f8-9072-8b90a5f879e3 msg="SendEvent: Pushed event to core data"
